id,name,link
1,PORTA CELLULARE AUTO,https://www.amazon.it/dp/B0C273FR2T/ref=olp-opf-redir?aod=1&ie=UTF8&condition=NEW
2,CUFFIE GAMING,https://www.amazon.it/dp/B0C94KNS8D/ref=olp-opf-redir?aod=1&ie=UTF8&condition=NEW
3,TELECAMERA,https://www.amazon.it/dp/B07XLML2YS/ref=olp-opf-redir?aod=1&ie=UTF8&condition=NEW
4,CAPSULE CAFFE',https://www.amazon.it/dp/B07JPJGCY2/ref=olp-opf-redir?aod=1&ie=UTF8&condition=NEW
5,INTEGRATORE ALIMENTARE,https://www.amazon.it/dp/B07Q7WZ5R2/ref=olp-opf-redir?aod=1&ie=UTF8&condition=NEW
6,SCHEDA MICRO SD,https://www.amazon.it/dp/B07YGZQ4H8/ref=olp-opf-redir?aod=1&ie=UTF8&condition=NEW
7,INSETTICIDA,https://www.amazon.it/dp/B0196HLSD0/ref=olp-opf-redir?aod=1&ie=UTF8&condition=NEW
8,FORNO PIZZA,https://www.amazon.it/dp/B0CGRXXPLZ/ref=olp-opf-redir?aod=1&ie=UTF8&condition=NEW
9,DISPOSITIVO ANTIABBANDONO,https://www.amazon.it/dp/B078W8BBFK/ref=olp-opf-redir?aod=1&ie=UTF8&condition=NEW
10,LAMPADINE,https://www.amazon.it/dp/B000UXA6AQ/ref=olp-opf-redir?aod=1&ie=UTF8&condition=NEW
11,GUANTI,https://www.amazon.it/dp/B00FFY9KE8/ref=olp-opf-redir?aod=1&ie=UTF8&condition=NEW
12,CUBO DI RUBIK,https://www.amazon.it/dp/B00HDZHREW/ref=olp-opf-redir?aod=1&ie=UTF8&condition=NEW
13,INSETTICIDA 2,https://www.amazon.it/dp/B09TWCFYXM/ref=olp-opf-redir?aod=1&ie=UTF8&condition=NEW